eth_time,eth_price,eth_high,eth_low,eth_24hourhigh,eth_24hourlow,eth_nexthourprice,eth_nextdayprice,eth_nextweekprice,btc_time,btc_price,btc_high,btc_low,btc_24hourhigh,btc_24hourlow,btc_nexthourprice,btc_nextdayprice,btc_nextweekprice
2022-05-01T21:00:00.000-07:00,2848.621689535371,2849.451518870859,2835.1974159809733,2892.955995699051,2757.6243941902903,2858.9786940893323,2845.7325811835453,2466.787972822762,2022-05-01T21:00:00.000-07:00,38959.628317699004,38634.87867073706,38959.628317699004,38634.87867073706,37949.62541900633,38959.55407960107,38472.23132821148,33644.40600973873
2022-05-01T22:00:00.000-07:00,2858.9786940893323,2859.220389228125,2849.7291207532344,2892.955995699051,2757.6243941902903,2860.428698038484,2840.5093188987653,2444.250012291325,2022-05-01T22:00:00.000-07:00,38959.55407960107,38959.55407960107,38959.55407960107,38959.55407960107,37949.62541900633,39053.96717954511,38474.53848074094,33473.43720205395
2022-05-01T23:00:00.000-07:00,2860.428698038484,2865.2685971213427,2857.7490005740765,2865.2685971213427,2757.6243941902903,2850.0664171937933,2839.1004457465733,2454.8985647203326,2022-05-01T23:00:00.000-07:00,39053.96717954511,39024.54187693,39053.96717954511,39024.54187693,37949.62541900633,38948.05402590129,38472.15952316582,33466.13199776425
2022-05-02T00:00:00.000-07:00,2850.0664171937933,2863.76407844115,2849.032457731157,2865.2685971213427,2757.6243941902903,2840.078829688675,2841.8708609363816,2451.816243875309,2022-05-02T00:00:00.000-07:00,38948.05402590129,38948.05402590129,39052.61322251187,39024.54187693,37949.62541900633,38930.57917498103,38549.01405989529,33628.1721835466
2022-05-02T01:00:00.000-07:00,2840.078829688675,2850.1977223691524,2834.882854760912,2865.2685971213427,2757.6243941902903,2821.909916673465,2846.3176171421696,2461.1498622744257,2022-05-02T01:00:00.000-07:00,38930.57917498103,38930.57917498103,38931.19470043878,39024.54187693,37949.62541900633,38907.63295241404,38588.45667239604,33667.00261497437
2022-05-02T02:00:00.000-07:00,2821.909916673465,2844.7802209788783,2814.5261999594077,2865.2685971213427,2757.6243941902903,2812.2474838735093,2836.7187644332153,2445.672990824097,2022-05-02T02:00:00.000-07:00,38907.63295241404,38907.63295241404,38933.8196031097,39024.54187693,37949.67021779002,38786.66399863613,38574.66054050642,33537.47038219094
2022-05-02T03:00:00.000-07:00,2812.2474838735093,2821.040040911251,2811.7390965745244,2865.2685971213427,2757.824496514801,2798.3798689318837,2831.4079375768088,2380.4380722881,2022-05-02T03:00:00.000-07:00,38786.66399863613,38786.66399863613,38864.95228328445,39024.54187693,37949.675528895226,38605.87983537528,38499.55808626024,32723.083790692
2022-05-02T04:00:00.000-07:00,2798.3798689318837,2808.139538212265,2798.01139780069,2865.2685971213427,2759.3290336552895,2797.9430052961193,2842.4450682591396,2399.354471386611,2022-05-02T04:00:00.000-07:00,38605.87983537528,38605.87983537528,38773.65586640602,39024.54187693,37949.68084000043,38584.901601726,38491.161719671465,33079.92562622457
2022-05-02T05:00:00.000-07:00,2797.9430052961193,2802.9236554896615,2793.32365243272,2865.2685971213427,2759.3290336552895,2822.993299686421,2840.954753767081,2394.805690176972,2022-05-02T05:00:00.000-07:00,38584.901601726,38548.93795980259,38587.921511181936,39024.54187693,37951.74037216807,38947.0173509147,38393.09685370729,32943.94378765573
2022-05-02T06:00:00.000-07:00,2822.993299686421,2824.686253566275,2791.1251520912306,2865.2685971213427,2759.3290336552895,2828.98622212416,2833.736334661158,2413.7516007018326,2022-05-02T06:00:00.000-07:00,38947.0173509147,38378.056517166115,38947.0173509147,39024.54187693,38016.50990208223,38907.24819003056,38295.031987743125,32999.3143920873
2022-05-02T07:00:00.000-07:00,2828.98622212416,2845.7253443561463,2812.870343203512,2865.2685971213427,2759.3290336552895,2824.5755065455355,2823.998848195845,2387.234280512152,2022-05-02T07:00:00.000-07:00,38907.24819003056,38748.878409303616,38973.57567569859,39024.54187693,38016.50990208223,38747.80964734807,38305.01825089623,32508.422205905626
2022-05-02T08:00:00.000-07:00,2824.5755065455355,2830.7682293388057,2821.0093372277433,2865.2685971213427,2759.3290336552895,2808.3894695386534,2831.852720049334,2375.4923987391353,2022-05-02T08:00:00.000-07:00,38747.80964734807,38747.80964734808,38872.63909533686,39024.54187693,38016.50990208223,38635.52640879949,38301.61853287139,32316.387371705943
2022-05-02T09:00:00.000-07:00,2808.3894695386534,2830.15969797867,2800.723472750925,2865.2685971213427,2759.3290336552895,2801.719320979407,2815.3920801281643,2328.737911031994,2022-05-02T09:00:00.000-07:00,38635.52640879949,38635.52640879949,38732.22945743953,39024.54187693,38016.50990208223,38351.493861280695,38210.12118839796,31745.651115706445
2022-05-02T10:00:00.000-07:00,2801.719320979407,2822.243093945328,2797.7297170678853,2865.2685971213427,2759.3290336552895,2797.2566494838543,2806.46027504119,2310.1851637700565,2022-05-02T10:00:00.000-07:00,38351.493861280695,38351.493861280695,38625.94166756705,39024.54187693,38016.50990208223,38228.04894712365,38154.80284147858,31375.398923019053
2022-05-02T11:00:00.000-07:00,2797.2566494838543,2800.02443888808,2786.722207383698,2865.2685971213427,2759.3290336552895,2838.601238947393,2788.0719662853844,2277.9585086304205,2022-05-02T11:00:00.000-07:00,38228.04894712365,38222.91824699097,38263.4288816929,39024.54187693,38212.38497249647,38780.162506107234,37706.21855524863,30856.375957636108
